UNITID,F1A13,F1A18,F1B25,I       
122384,120740993,54015030,73799202,
122409,216604145,407749533,501735677,
122597,360887599,386464479,464821123,
122658,227794110,97889218,155703869,
122737,326759563,84512823,28396565,
122746,,,56938928,
122755,349350983,241753581,392927632,
122782,127782069,30837840,29880886,
122791,301840716,72843677,70583205,
122889,67817015,128120353,152803866,
122977,461357922,124706478,210722494,
123013,255282168,184722906,159727838,
123217,101039815,75578487,98060722,
123299,66424312,33097991,68327839,
123341,108179529,84778847,117173801,
123484,32598484,6943785,28944088,
123493,,,12573992,
123509,212764098,51346682,49753301,
123527,,,101332205,
123563,146021047,29636108,80232253,
123572,201162387,165672763,162200631,
123800,207490092,70014109,135775378,
123925,2959109,26264616,22251348,
124113,76159068,45912638,40958076,
124557,27238444000,19351076000,1440931000,
125019,362981840,350912522,56806745,
125028,,,67349558,
125091,161522257,56471858,104602528,
125170,,,30804721,
125222,317690468,116298007,85229878,
125301,,,7122591,
125462,,,40897512,
125471,,,79051357,
126100,354196914,118129023,104658073,
126119,79397731,33262476,47079378,
126182,72123426,64302444,45288143,
126207,29155131,84338488,69612919,
126289,9714875,39539035,39214310,
126562,751140732,899190479,1253498488,
126580,130231745,169735806,140437507,
126614,804270398,1102261699,1103614640,
126711,36774681,157171397,98124021,
126748,11692365,21328426,19762706,
126775,214054209,160965800,180701338,
126818,559985556,687060596,810948384,
126863,6088515,16644313,31711521,
126915,,,4196387,
126942,11510853,21723630,52874834,
127158,,,17251514,
127185,67351497,114982980,71959819,
127200,19950958,100444625,107078842,
127389,1078594,13180818,9090297,
127556,164836372,152629592,109553565,
127565,100207570,53409525,157312726,
127617,1991880,15705887,14636907,
127732,13016847,18483239,18198423,
127741,168937472,169545566,191492920,
127778,5669954,21356384,21658403,
127820,20822374,39634262,73755798,
127884,7838122,41179359,46345744,
127909,11691201,36892535,49531934,
128106,84493657,79713131,79202569,
128151,,,4786219,
128258,4067887,19151165,19276035,
128300,33398050,213475388,170815779,
128328,,,760787147,
128391,95974942,47627980,46962474,
128577,3535414,7758024,16092856,
128771,98682379,249080256,200014704,
128780,1019700,5240156,10546410,
129020,1514715080,1790167755,1824599479,
129215,57224141,234029147,114954357,
129367,6789892,61733592,38467355,
129543,7541215,94616694,37649936,
129695,11734197,71872847,55277760,
129729,13147164,56564274,53676817,
129756,4850997,10625585,21180478,
129808,8170400,90330168,32913289,
130004,11597231,49209480,71774352,
130040,3598165,24256809,15666370,
130217,3720086,15711769,17637901,
130396,12093457,206341642,230446875,
130493,99948204,262202130,188979208,
130606,7889809,41226600,34081290,
130624,,,134030870,
130776,55325261,204074045,109424295,
130882,89396,3380558,19502677,
130891,2581080,21034045,46244495,
130907,1255389,19401437,31618572,
130916,3272324,47532637,65710828,
130934,79010843,135181134,97459894,
131399,79030401,91037876,134971349,
132374,,,26008141,
132523,,,737229,
132675,,,1752189,
132693,17034214,125796766,99588397,
132709,56001765,250770829,243349358,
132851,8444037,88950404,59725006,
132903,318760690,1020178630,778537324,
132976,,,6006662,
133021,3745499,57799431,20607564,
133155,,,7119524,
133386,43321373,172055986,136880470,
133508,26416099,145346535,85206807,
133650,105853913,522742986,319409058,
133669,191032174,802779369,444023497,
133702,48000071,279897702,208648192,
133951,350531586,806210686,714363383,
133960,1524718,23768480,13343508,
134097,374491076,1931172569,997046730,
134130,588311000,2297097000,2306844000,
134291,,,5427847,
134307,,,5068097,
134343,10340004,100111635,49618067,
134495,13988439,233573582,157313718,
134608,19288232,265088493,113155374,
135160,4983572,45654014,27229088,
135179,,,8218820,
135188,4072088,71912086,27506096,
135267,,,9869382,
135276,,,18800201,
135294,,,13934036,
135391,7294778,100149313,75638117,
135407,,,14034599,
135522,,,7124294,
135647,,,17646698,
135717,90151282,979071188,519671917,
135735,,,21228336,
136145,1938959,30586882,12346532,
136172,189310701,376003510,224909797,
136233,7256367,134346064,51679687,
136303,,,8807333,
136358,25771148,226004009,152953847,
136400,10506403,148473886,64132347,
136473,15369966,66269671,79631745,
136491,,,12745384,
