UNITID,EFYTOTLT
110510,19729
110510,16049
110510,3680
110529,23217
110529,20757
110529,2460
110538,17892
110538,16408
110538,1484
110547,15924
110547,12191
110547,3733
110556,21755
110556,18429
110556,3326
110565,38551
110565,32621
110565,5930
110574,16879
110574,13157
110574,3722
110583,37291
110583,30589
110583,6702
110592,23515
110592,18007
110592,5508
110608,38028
110608,31362
110608,6666
110617,30873
110617,25941
110617,4932
110635,38970
110635,28257
110635,10713
110644,33513
110644,26681
110644,6832
110653,29237
110653,23806
110653,5431
110662,41488
110662,29055
110662,12433
110671,20895
110671,18298
110671,2597
110680,30797
110680,25226
110680,5571
110699,3166
110699,3166
110705,24702
110705,21405
110705,3297
110714,18296
110714,16625
110714,1671
110778,550
110778,550
110875,138
110875,138
110918,30
110918,30
110945,1929
110945,1929
111009,1326
111009,1326
111054,229
111054,229
111081,1415
111081,906
111081,509
111188,836
111188,836
111391,1036
111391,1036
111434,11597
111434,11597
111461,35691
111461,35691
111513,379
111513,379
111638,847
111638,847
111708,442
111708,442
111717,1067
111717,1067
111726,530
111726,530
111744,344
111744,344
111762,222
111762,222
111771,351
111771,351
111799,345
111799,345
111887,31480
111887,31480
111896,11166
111896,11166
111920,23010
111920,23010
111939,29057
111939,29057
111948,6933
111948,4838
111948,2095
111966,304
111966,267
111966,37
112075,3491
112075,1563
112075,1928
112084,484
112084,460
112084,24
112127,96
112127,96
112172,17335
112172,17335
112190,49181
112190,49181
112251,2517
112251,2517
112260,1268
112260,1248
112260,20
112288,595
112288,595
112312,411
112312,75
112312,336
112367,2586
112367,2586
112385,18520
112385,18520
112394,241
112394,241
112446,979
112446,833
112446,146
112455,136
112455,136
112525,2781
112525,2781
112561,6244
112561,6244
112570,412
112570,412
112686,12776
112686,12776
112783,1083
112783,1083
112826,13037
112826,13037
113096,24049
113096,24049
113111,8529
113111,8529
113193,17077
113193,17077
113218,15432
113218,15432
113227,291
113227,291
113236,22320
113236,22320
113333,40906
113333,40906
113397,776
113397,776
113449,295
113449,295
113537,44
113537,27
113537,17
113573,13154
113573,13154
113582,393
113582,393
113607,16554
113607,13765
113607,2789
113634,34423
113634,34423
113698,2370
113698,1575
113698,795
113704,90
113704,90
113856,60651
113856,60651
113908,1189
113908,1189
113953,8821
113953,8821
113980,39717
113980,39717
114044,120
114044,120
114062,308
114062,308
114071,700
114071,700
114080,636
114080,636
114114,209
114114,209
114123,923
114123,923
114266,18333
114266,18333
114354,5925
114354,5925
114372,182
114372,182
114390,1217
114390,1217
114415,599
114415,599
114433,3805
114433,3805
114460,397
114460,397
114549,2176
114549,2176
114585,357
114585,357
114628,158
114628,158
114716,33129
114716,33129
114734,68
114734,68
114761,125
114761,125
114789,35400
114789,35400
114813,4317
114813,3049
114813,1268
114840,4470
114840,4470
114859,32480
114859,32480
114895,217
114895,217
114938,16491
114938,16491
114947,3870
114947,3870
115001,24604
115001,24604
115010,411
115010,411
115083,4956
115083,597
115083,4359
115126,20800
115126,20800
115214,262
115214,262
115296,31099
115296,31099
115357,56
115357,56
115393,16837
