UNITID,F1A13,F1A18,F1B25
123341,105439784,85500893,122106726
123484,32025540,8778628,29931096
123493,,,8338105
123509,212249936,41565579,57573415
123527,,,119767351
123563,140852178,31434495,85581673
123572,197244869,172843479,159581888
123800,277408084,69726216,142506262
123925,3036796,22809688,25789055
124113,78401624,44607185,36882025
124557,30047869000,19764772000,1813727000
125019,358314096,350209588,59372062
125028,,,65683021
125091,159266000,68249000,108388031
125170,,,42016531
125222,316606669,116256876,83963499
125301,,,6991333
125462,,,40270129
125471,,,90242855
126100,363460989,117418597,107734646
126119,97669670,32540855,48210026
126182,72277420,65079900,47801543
126207,27484784,96997545,64167270
126289,10529898,42716749,43709530
126562,828897927,940324776,1353973581
126580,135321693,178041985,134618195
126614,834461672,1219892764,1177843705
126711,38159940,172622471,89060118
126748,11151255,33581480,25579345
126775,214924899,196579816,203708406
126818,669356406,728226515,852321061
126863,6877989,18948405,34624610
126915,,,4356931
126942,37045641,31863524,60786275
127158,,,15411319
127185,63363430,124263354,70396093
127200,21539287,121211757,115742326
127389,4199923,12944319,8436921
127556,159945020,161186594,97776344
127565,105609953,64925056,165177050
127617,1842620,17784240,12813593
127732,12663789,21257438,18599127
127741,163192280,176170828,196094810
127778,5478385,23038513,23358155
127820,21789914,51938773,87511053
127884,22184216,44364639,47101661
127909,11298604,44629122,55198363
128106,79910967,90228872,84558021
128151,,,4821235
128258,4392089,22217660,21334290
128300,11276624,307399749,189696223
128328,,,759815852
128391,96499066,63411282,53798737
128577,3649805,8951853,18558561
128771,96524060,252448062,211101375
128780,1436403,5126004,10916347
129020,1437750033,1734964777,1809808373
129215,54736071,253787262,135173248
129367,6846774,61966787,40497037
129543,8230374,93082201,43143810
129695,11678404,71094409,59110305
129729,13077240,56590886,59548489
129756,5585989,10355262,23196359
129808,8463268,90562780,38821247
130004,11880018,50684223,53014998
130040,3653902,26062888,19252412
130217,3898899,15668136,18357048
130396,14225569,207423051,52315362
130493,99189850,271869724,208948032
130606,8240803,40788469,36199418
130624,,,98839490
130776,53453889,206537876,120012096
130882,105500,3765496,10977988
130891,1791150,30192173,50235897
130907,1306541,27008266,34041611
130916,2988690,54477519,75063061
130934,76595659,140352624,111375549
131399,78710264,118031336,179633282
132374,,,26282188
132523,,,817515
132675,,,1721590
132693,16279807,123030456,110533602
132709,55853440,270510394,277621949
132851,8089299,90262277,66348490
132903,305695878,1087877190,859633642
132976,,,5309828
133021,4320658,59066000,23918338
133155,,,7490840
133386,43825382,171847653,139589407
133508,33074412,158099038,99625894
133650,79968963,593983960,366106204
133669,180553309,853265389,497878093
133702,42497091,283256443,222943924
133951,350237458,876576070,773531134
133960,1141272,27975599,18394883
134097,431575035,2049561010,1074684457
134130,638115000,2369297000,2409542000
134291,,,6399228
134307,,,5501246
134343,10263170,108243281,58948589
134495,12051500,244365984,186606800
134608,22019667,270162340,123815144
135160,5306206,48530799,29205890
135179,,,8081513
135188,4599052,69778010,28013244
135267,,,13838348
135276,,,20456330
135294,,,13312429
135391,8864267,101184255,81079532
135407,,,18139529
135522,,,7914736
135647,,,12764987
135717,107339284,1096231657,578763127
135735,,,26705602
136145,1234533,30250477,13219869
136172,190695124,386898714,243847844
136233,7076881,135996192,53629204
136303,,,9501242
136358,25108932,250408188,188822701
136400,7824223,182276776,97495886
136473,14572151,71341101,85680942
136491,,,13720185
136516,7152113,72701544,64705065
136659,,,3559976
136765,,,6493221
136826,,,3576338
137023,,,10734304
137078,57573827,317412742,212708926
137087,,,12864456
137096,118155209,129875961,111743199
137120,,,21111717
137209,18665422,198034196,128782833
137245,,,12651172
137281,3999145,69948640,50163627
137315,3907662,73621152,30623447
137351,324273122,1068453090,1006089564
137713,,,2566318
137759,34028891,137381354,137869837
137856,,,2434586
137865,,,6887076
138187,23381166,294262328,278685981
138284,,,6441854
138354,25281423,225454221,175103578
138372,,,10514322
138479,,,4479339
138488,,,8893691
138497,,,5784619
138558,51506844,38200511,44740071
138682,4602787,30948514,50255151
138691,37339709,38953609,44079386
138716,37993981,97968208,77069000
138789,115367709,68421492,95248454
138840,3903813,33088148,57409708
138901,1816014,15648112,30474987
138956,2162328,38765935,37746762
138983,39720282,79238477,76188143
139010,25162453,38208234,33728574
139250,18366961,51341600,48842261
139278,4026561,55079210,49165826
139311,83213309,68317833,88188088
139357,1808415,40355378,31898492
139366,104512242,81435601,102282974
139384,3134611,45359980,63035827
139463,9869963,29932224,47854180
139621,3130696,25512054,24051869
139700,3434126,41582474,35331447
139719,90012855,64244634,84906252
139746,,,590629
139755,656476026,1278529742,1287275593
139764,45489616,47868866,46026661
139773,17150039,39764199,57687528
139861,120526764,67826497,125260908
139904,11634940,65264746,74486745
139931,198011317,309751918,294963765
139940,406063615,531153207,611405447
139959,431928698,1487507132,1245450533
139968,37023610,52082608,57073052
139986,2245979,27902871,45978585
140012,11063874,38595865,43087159
140085,1541680,24574191,27187692
140164,217300825,212758734,336193775
140243,2935914,26339807,29511575
140304,1893189,36126535,49341151
140322,17965872,81733329,57019560
140331,13061178,85536077,93379891
140401,165521163,339541079,613098663
140483,66073220,75575352,45260302
140599,1484778,32014574,24001134
140669,111967261,82816656,82166221
140678,1770392,32273517,27210965
140942,2201526,49507554,42363212
140960,59050496,76483121,78651818
140997,32258459,11186932,21392700
141006,1937672,27829062,31358453
141097,101330495,97950267,116326471
141158,783742,24555317,14507446
141255,2547215,43544843,43873365
141264,230004146,140709274,180183559
141307,781995,10720001,8874215
141334,130947613,139776988,157607728
141565,44794131,212976320,131872892
141574,641630900,738785620,917141032
141680,5716961,16268057,42459702
141796,9008354,59955372,66528037
141802,2070527,11239579,18070179
141811,10414722,10961838,50242819
141839,4902648,84337984,47643447
141963,440693602,342404885,237770288
141981,78198612,97643118,62397990
141990,3589256,72628580,23925021
142115,286706392,316182725,313364719
142179,1464382,26456308,11979893
142276,100188866,190901906,238219282
142285,204083508,402353832,417165611
142328,15526512,61583161,51279997
142443,15728337,53593536,70061738
142559,11172830,83160436,138673360
143215,85282622,93617146,120300444
143279,28077356,72001700,61121541
143613,40389856,16559556,29068856
144005,35376239,148738043,155376820
144157,,,56508743
144166,,,50489519
144175,,,38276788
144184,,,56538927
144193,,,44380644
144209,,,55739901
144218,,,55873934
144500,182688775,824196424,107775649
144564,6665962,51852966,27824933
144865,314955759,338242193,223863278
144892,170465264,213013735,253706196
144944,235264499,102605171,125979750
145336,44729957,87867001,101895858
145521,16278393,25728776,31612965
145600,1110760557,1236384491,2357592052
145637,1217395740,1674156168,2239838134
145682,93630713,152206508,128187646
145707,,,11966663
145813,182658789,452385725,498072926
145831,13640362,58381386,37174884
146205,33845442,64745338,53513631
146278,16959058,32274442,24869139
146296,207163000,103008072,137572001
146348,20471165,32144957,41389810
146366,32337698,37699990,40275572
146418,34715337,36322746,44864234
146472,113087723,147422439,136067715
146506,32228033,61537509,61969437
146603,126537339,81303075,62916372
146685,76255782,61948509,76850057
147004,36356655,62920109,58332870
147378,116333993,166642662,112406432
147411,16407272,36423381,41250304
147703,375472633,270064780,540787784
147776,55080055,129986200,173170650
147800,117643837,152593241,97988606
147916,85919050,76725718,98211083
148007,27366097,31261903,38874907
148256,21856388,28494520,35324754
148292,23689071,30324753,30108073
148380,114501401,52811548,76760460
148654,79718402,71443262,95211289
148672,12916055,34861526,23189264
148821,14135638,24029302,24234618
148937,11030946,14678509,20070811
148991,20253108,2932432,17053256
149222,301089726,425667274,768845693
149231,197803453,202281947,329587115
149240,1001754,444204,6193025
149365,43156349,18202601,59953238
149532,22319396,67319574,79380970
149587,370823886,207476397,270651996
149727,125600195,94937607,92790149
149772,131233928,164925574,288202517
149842,259441374,210653522,161148140
150136,249825443,661068665,451076058
150978,31479022,26070255,43616496
150987,61696517,20423037,98059890
150996,2090951,16404566,28638560
151005,22027123,15318412,53354959
151014,8751790,1195983,30680700
151023,9361785,35577229,42888691
151032,31120245,20480361,56256866
151041,20709376,1865643,27127504
151050,33078941,26951712,38710116
151069,23740050,16121908,41905281
151078,23533671,25565677,21428691
151087,39000959,28081275,58566997
151096,18924685,9812894,19128073
151102,170412354,137916870,159060754
151111,529069960,991587927,1182636535
151306,162643152,125797267,148012386
151324,144063203,349429155,229098312
151333,17965112,26801227,29923164
151342,69058268,90782221,81809492
151351,884663552,1727099069,1438452027
151360,29769233,48565526,57176586
151379,55852692,53385412,70618224
151388,11196313,20779311,33804023
151537,,,1010445
152248,77387247,107130494,112083056
152266,3834874,27979578,41323079
152637,80428130,246509802,149699368
153214,162910095,101637213,135602751
153296,20008114,12670097,19045900
153311,87341739,80208186,83760366
153445,45380179,75150703,50744209
153472,23228128,60786876,59850840
153524,52785425,32865054,62019920
153533,19263786,32190421,38710291
153603,734233617,1100316920,1050706958
153630,107192581,50269177,57313171
153658,1632896000,2865497000,2509073000
153737,152454942,105242171,133924247
153922,34808636,22042497,33134649
154059,19062274,35629744,38101504
154095,192455655,331550610,269677545
154110,89945320,28681050,69277876
154129,14771951,25151419,17354999
154378,21348954,25809580,46463219
154396,21058467,17043512,24769803
154572,42599563,40628739,52941897
154642,4533063,16724410,17290529
154697,10350898,25623972,35421406
154800,18944718,43059856,70445811
154907,8180418,14748251,21230660
154925,9819251,8549979,26181391
154934,6408079,4066713,13702269
154952,16762364,32661868,32550923
154998,11455525,13362565,22107229
155025,36030735,71134854,85399127
155052,612197,3709274,10485512
155061,24078346,108322051,110364530
155098,9062727,8295665,18537326
155104,13888965,19851937,20908296
155140,0,0,21495621
155186,5143603,14683394,20794932
155195,25859301,44561331,46122235
155201,9475574,6694493,13975770
155210,59644588,208921154,174918058
155292,45448805,36469540,71501287
155317,605717010,1021802750,1123294295
155399,360018512,513140703,717188411
155423,,,7501431
155450,2327232,11127204,14863832
155487,1174534,3123095,5421413
155566,9868742,6335389,21900261
155593,1141186,6934000,9598915
155618,502427,13045887,7809772
155681,52104671,107830819,104271274
155715,7559336,13124350,15327934
155830,500233,4171146,4435107
155858,11498630,33556001,18605118
156082,33752509,142574960,96635353
156107,7365858,7575175,21550291
156125,68361782,208890615,265218011
156231,,,31479323
156338,,,25042635
156392,,,88750255
156620,99946250,320421311,332578955
156648,,,44807016
156790,,,35462116
156851,,,16179793
156860,,,25141782
156921,,,85220704
157058,17117182,115979215,78667824
157085,1142694648,2632162398,2467064269
157289,470401000,804502000,837316000
157304,,,28718961
157331,,,31185381
